PRODUCT SUPPLIER,PRODUCT NAME,BEG. STOCKS,Cost,WHOLESALE PRICE,RETAIL PRICE,Column1
SODATRADE CORP.,PRINCESS BEA RED 25KG,488,"₱1,270.00","₱1,350.00","₱1,370.00",
RENZY MARKETING INC.,PRINCESS BEA RED 25KG,2000,"₱1,270.00","₱1,350.00","₱1,370.00",
RBS,PRINCESS BEA RED 25KG,1200,"₱1,250.00","₱1,350.00","₱1,370.00",
RBS,PRINCESS BEA RED 25KG,2400,"₱1,260.00","₱1,350.00","₱1,370.00",
RBS,PRINCESS BEA RED10KG,96,₱500.00,₱560.00,₱570.00,
RBS,PRINCESS BEA RED 5KG,482,₱254.00,₱280.00,₱290.00,
TRISNA COMPANY INC.,MASTER CHEF AROMA 25KG,4353,"₱1,250.00","₱1,330.00","₱1,350.00",
TRISNA COMPANY INC.,MASTER CHEF AROMA 25KG,3000,"₱1,270.00","₱13,330.00","₱1,350.00",
TRISNA COMPANY INC.,MASTER CHEF AROMA 10KG,13,₱500.00,₱560.00,₱570.00,
TRISNA COMPANY INC.,MASTER CHEF AROMA 5KG,175,₱254.00,₱280.00,₱290.00,
YOUNGS MOLAVE MILLING CORP.,YOUNG MASTER 25KG,162,"₱1,365.00","₱1,390.00","₱1,400.00",
YOUNGS MOLAVE MILLING CORP.,YOUNG MASTER 10KG,948,₱556.00,₱580.00,₱590.00,
YOUNGS MOLAVE MILLING CORP.,YOUNG MASTER 5KG,699,₱254.00,₱290.00,₱300.00,
BLUE SHARK DEVELOPMENT CORP.,BLUE HARVEST BLUE 25KG,0,,,,
ONE PR CONSOLIDITED,BLUE HARVEST BLUE 10KG,262,₱510.00,₱540.00,₱550.00,
ONE PR CONSOLIDITED,BLUE HARVEST BLUE 5KG,601,₱255.00,₱270.00,₱280.00,
SODATRADE CORP.,SWEET RICE PINK 25KG,774,"₱1,130.00","₱1,150.00","₱1,170.00",
SODATRADE CORP.,SWEET RICE YELLOW 25KG,2073,"₱1,020.00","₱1,070.00","₱1,090.00",
SODATRADE CORP.,MARIA PINK 25KG,300,"₱1,130.00","₱1,150.00","₱1,170.00",
ONE PR CONSOLIDITED,MAGNOLIA AAA YELLOW,619,"₱1,020.00","₱1,070.00","₱1,090.00",
ONE PR CONSOLIDITED,FIVE STAR GREEN 25KG,814,"₱1,205.00","₱1,300.00","₱1,320.00",
RENZY MARKETING INC.,PRINCE KYLO WHITE,980,"₱1,075.00","₱1,150.00","₱1,170.00",
RENZY MARKETING INC.,PRINCE KYLO YELLOW,3212,"₱1,010.00","₱1,070.00","₱1,090.00",
TRISNA COMPANY INC.,MASTER CHEF (GLUTINOUS ) 25KG,0,,"₱1,100.00","₱1,100.00",
RAC CORPORATION INC.,ALAS GLUTINOUS 25KG,220,"₱1,050.00","₱1,100.00","₱1,100.00",
WJJ ENTERPRISES,WJJ RED V-160 25KG,1115,"₱1,140.00","₱1,180.00","₱1,200.00",
SODATRADE CORP.,PLANTERS YELLOW 25KG,0,,"₱1,130.00","₱1,150.00",
ONE PR CONSOLIDITED,BLUE HARVEST WHITE 25KG,51,₱980.00,"₱1,030.00","₱1,050.00",
ONE PR CONSOLIDITED,BLUE HARVEST GOLDEN 25KG,128,₱950.00,"₱1,030.00","₱1,050.00",
SODATRADE CORP.,PRINCESS BEA YELLOW 25KG,272,"₱1,020.00","₱1,070.00","₱1,090.00",
SODATRADE CORP.,SWEET RICE GREEN 25KG,267,"₱1,070.00","₱1,120.00","₱1,150.00",
RAC CORPORATION INC.,MISTER CHOW JAPONICA GOLD 25KG,422,"₱1,230.00","₱1,300.00","₱1,320.00",
RAC CORPORATION INC.,KUHAKO PINK JAPONICA 25KG,26,"₱1,230.00","₱1,300.00","₱1,320.00",
